t,x,y,a_cmd,a_sat,cte
0.000000000000000000e+00,0.000000000000000000e+00,1.027212654910907075e+00,-2.072240684624265528e-01,-2.072240684624265528e-01,1.027212654910907075e+00
5.000000000000000278e-02,3.207142690605628288e-01,1.016246467813496146e+00,-1.758746587501198166e-01,-1.758746587501198166e-01,1.034123704101953756e+00
1.000000000000000056e-01,6.416962991687060747e-01,1.003774157739882433e+00,-2.214687690217401750e-01,-2.214687690217401750e-01,1.009840815819930571e+00
1.500000000000000222e-01,9.636168156588329481e-01,9.946296350803129904e-01,-1.858684985830935388e-01,-1.858684985830935388e-01,1.018901677553933682e+00
2.000000000000000111e-01,1.288010381650016356e+00,9.833868128589833280e-01,-1.574008594329084909e-01,-1.574008594329084909e-01,1.007798150600498488e+00
2.500000000000000000e-01,1.608979892989669702e+00,9.702363566490319613e-01,-4.938473366662340241e-02,-4.938473366662340241e-02,9.868857630958579596e-01
3.000000000000000444e-01,1.930021196250922610e+00,9.506595071490608895e-01,4.711890210203455165e-03,4.711890210203455165e-03,9.906202090042961483e-01
3.500000000000000333e-01,2.250446410839699318e+00,9.276048493842701248e-01,4.022800344677113227e-02,4.022800344677113227e-02,9.585596979724989586e-01
4.000000000000000222e-01,2.568905123045934324e+00,9.030089117553494749e-01,2.581436304337717327e-02,2.581436304337717327e-02,9.312788661652383615e-01
4.500000000000000111e-01,2.886526087444119870e+00,8.794708285933893199e-01,3.793665237000725526e-02,3.793665237000725526e-02,9.391969515204771080e-01
5.000000000000000000e-01,3.206925176455292181e+00,8.555827572269926184e-01,7.132526388269516682e-02,7.132526388269516682e-02,8.931212873723699541e-01
5.500000000000000444e-01,3.530937966209375389e+00,8.299594959110210279e-01,4.048632414386737349e-02,4.048632414386737349e-02,8.710514276745187079e-01
6.000000000000000888e-01,3.855842467388386208e+00,8.068205101170053961e-01,7.814458614690798777e-02,7.814458614690798777e-02,8.802000987559159828e-01
6.500000000000000222e-01,4.180949925055323924e+00,7.817967869110699075e-01,1.000911649419706367e-01,1.000911649419706367e-01,7.513400915569300453e-01
7.000000000000000666e-01,4.503569419172507970e+00,7.556998552796074797e-01,1.474791341829921054e-01,1.474791341829921054e-01,5.168586059397960453e-01
7.500000000000000000e-01,4.826758745262156758e+00,7.271155074190640555e-01,1.587591568310023071e-01,1.587591568310023071e-01,2.613438641023417830e-01
8.000000000000000444e-01,5.149380317919404426e+00,6.983756363218099894e-01,1.504282288063009398e-01,1.504282288063009398e-01,2.128853712748688398e-01
8.500000000000000888e-01,5.473434761669031090e+00,6.705218817531765074e-01,1.804753504646025020e-01,1.804753504646025020e-01,2.338055052603292272e-01
9.000000000000000222e-01,5.798420623355158732e+00,6.412802427050463550e-01,1.500690928694311255e-01,1.500690928694311255e-01,5.255856532510531087e-01
9.500000000000000666e-01,6.123048021752757641e+00,6.145216960717945209e-01,2.023820024963727815e-01,2.023820024963727815e-01,6.794584242461416679e-01
1.000000000000000000e+00,6.451627218904516070e+00,5.848292916488974091e-01,1.462247542858631510e-01,1.462247542858631510e-01,6.679056931427942434e-01
1.050000000000000044e+00,6.784178116883939680e+00,5.591831201975834276e-01,1.348192818681420990e-01,1.348192818681420990e-01,6.590594692935778376e-01
1.100000000000000089e+00,7.118719687636120952e+00,5.346889374430443542e-01,7.209703743948266130e-02,7.209703743948266130e-02,6.104520973601066380e-01
1.150000000000000133e+00,7.452328350846083360e+00,5.145075104888658934e-01,-6.381985563029940120e-03,-6.381985563029940120e-03,6.077946131437780286e-01
1.200000000000000178e+00,7.791041074344116524e+00,4.994876153917648387e-01,-2.305714640664482257e-02,-2.305714640664482257e-02,6.170834470408718131e-01
1.250000000000000000e+00,8.133090041987870222e+00,4.856997693506636127e-01,-1.889447888895767758e-02,-1.889447888895767758e-02,5.738766868136484511e-01
1.300000000000000044e+00,8.471744881994288434e+00,4.721250817243503040e-01,3.500674899233870846e-02,3.500674899233870846e-02,5.714615589190359390e-01
1.350000000000000089e+00,8.811979763714814951e+00,4.553193069029723983e-01,1.445048985455171103e-02,1.445048985455171103e-02,5.964282807013704391e-01
1.400000000000000133e+00,9.153084713014781215e+00,4.398617452922602422e-01,6.550647324835956464e-02,6.550647324835956464e-02,5.423961813014416267e-01
1.450000000000000178e+00,9.495847031891187839e+00,4.214432171731909982e-01,8.652543815883646794e-02,8.652543815883646794e-02,5.270286611815715450e-01
1.500000000000000000e+00,9.836650729849504060e+00,4.020837978636898624e-01,1.458754827599775469e-02,1.458754827599775469e-02,5.556863359055467244e-01
1.550000000000000044e+00,1.017416981022843103e+01,3.875778999804570524e-01,3.718927609875091311e-03,3.718927609875091311e-03,5.068126822943602727e-01
1.600000000000000089e+00,1.051022207532755992e+01,3.741206327508007634e-01,-6.442369415138349265e-02,-6.442369415138349265e-02,4.880601974340795790e-01
1.650000000000000133e+00,1.084544939690816179e+01,3.650098465040599871e-01,-9.091313799067365919e-02,-9.091313799067365919e-02,5.249837467579968608e-01
1.700000000000000178e+00,1.118404183249913864e+01,3.576393530396977938e-01,-9.133903843582411031e-02,-9.133903843582411031e-02,4.922063151852203444e-01
1.750000000000000000e+00,1.151661626248583659e+01,3.504029322533088187e-01,-1.306681757366262575e-01,-1.306681757366262575e-01,4.738207322823712042e-01
1.800000000000000044e+00,1.185088415031292364e+01,3.457834239959556299e-01,-1.992401024534705412e-01,-1.992401024534705412e-01,5.120813262078683925e-01
1.850000000000000089e+00,1.218337148729113117e+01,3.458738394887087009e-01,-1.714570756865572421e-01,-1.714570756865572421e-01,4.928344493599711718e-01
1.900000000000000133e+00,1.251222512040784807e+01,3.439710112045720747e-01,-1.693254050423836365e-01,-1.693254050423836365e-01,4.777575347294478747e-01
1.950000000000000178e+00,1.284345649342610862e+01,3.419309515987836168e-01,-1.755479162336416599e-01,-1.755479162336416599e-01,5.183710003524109045e-01
2.000000000000000000e+00,1.317986725370760048e+01,3.400849162713653895e-01,-1.590041999495414027e-01,-1.590041999495414027e-01,4.984652888952773031e-01
2.050000000000000266e+00,1.351441244865173097e+01,3.368933770349053503e-01,-9.420403532160870341e-02,-9.420403532160870341e-02,4.807362178711712120e-01
2.100000000000000089e+00,1.384589323946612716e+01,3.299586840697992796e-01,-1.113578448145822603e-01,-1.113578448145822603e-01,5.134925675005057588e-01
2.149999999999999911e+00,1.417890561718030185e+01,3.242531849064995142e-01,-7.502105700554485834e-02,-7.502105700554485834e-02,4.952416879064231447e-01
2.200000000000000178e+00,1.451519473288811390e+01,3.162200285630615837e-01,-5.865010582556037799e-02,-5.865010582556037799e-02,4.703502500239431505e-01
2.250000000000000000e+00,1.485577523319137327e+01,3.071338324706633371e-01,-3.601098788530409517e-02,-3.601098788530409517e-02,4.960048647283933909e-01
2.300000000000000266e+00,1.520030185636633213e+01,2.966364113531392843e-01,-4.284782447004251843e-02,-4.284782447004251843e-02,4.885335912976963568e-01
2.350000000000000089e+00,1.554261274764876610e+01,2.865749604905334369e-01,-4.430889489896874117e-02,-4.430889489896874117e-02,4.516065265790162320e-01
2.400000000000000355e+00,1.588741720644196498e+01,2.767260251180414521e-01,1.935445044807979076e-02,1.935445044807979076e-02,4.650713923577541320e-01
2.450000000000000178e+00,1.623040407458374901e+01,2.631169003476077628e-01,3.141447565955799923e-03,3.141447565955799923e-03,4.824648531775309612e-01
2.500000000000000000e+00,1.656943231077435286e+01,2.507113801467129033e-01,1.445165586042999190e-02,1.445165586042999190e-02,4.294119538080500842e-01
2.550000000000000266e+00,1.691088517533020052e+01,2.377528828282182982e-01,-1.887751423308071941e-02,-1.887751423308071941e-02,4.297575637703782703e-01
