x,y,psi,kappa,s
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-8.000000000000000167e-02,0.000000000000000000e+00
1.330575217502692476e-01,-7.081922252225036907e-04,-1.064480276922244451e-02,-8.000000000000000167e-02,1.330594063963583262e-01
6.294443998877554680e-01,-5.992332226917944892e-03,-1.064480276922244451e-02,0.000000000000000000e+00,6.294744091134771846e-01
1.125831278025241744e+00,-1.127647222861338609e-02,-1.064480276922244451e-02,0.000000000000000000e+00,1.125889411830596210e+00
1.622218156162727798e+00,-1.656061223030882643e-02,-1.064480276922244451e-02,0.000000000000000000e+00,1.622304414547715012e+00
2.118605034300214296e+00,-2.184475223200426849e-02,-1.064480276922244451e-02,0.000000000000000000e+00,2.118719417264834259e+00
2.614991912437700794e+00,-2.712889223369971056e-02,-1.064480276922244451e-02,0.000000000000000000e+00,2.615134419981953506e+00
3.111378790575186404e+00,-3.241303223539514916e-02,-1.064480276922244451e-02,0.000000000000000000e+00,3.111549422699071865e+00
3.607765668712672458e+00,-3.769717223709059123e-02,-1.064480276922244451e-02,0.000000000000000000e+00,3.607964425416190668e+00
4.104152546850158956e+00,-4.298131223878603330e-02,-1.064480276922244451e-02,0.000000000000000000e+00,4.104379428133309915e+00
4.600539424987645454e+00,-4.826545224048147537e-02,-1.064480276922244451e-02,0.000000000000000000e+00,4.600794430850428718e+00
5.096926303125131064e+00,-5.354959224217691743e-02,-1.064480276922244451e-02,0.000000000000000000e+00,5.097209433567546633e+00
5.593313181262617562e+00,-5.883373224387235950e-02,-1.064480276922244451e-02,0.000000000000000000e+00,5.593624436284665435e+00
6.089700059400103171e+00,-6.411787224556779463e-02,-1.064480276922244451e-02,0.000000000000000000e+00,6.090039439001783350e+00
6.586086937537591446e+00,-6.940201224726325058e-02,-1.064480276922244451e-02,0.000000000000000000e+00,6.586454441718903929e+00
7.082473815675076168e+00,-7.468615224895867877e-02,-1.064480276922244451e-02,0.000000000000000000e+00,7.082869444436020956e+00
7.578860693812564442e+00,-7.997029225065413471e-02,-1.064480276922244451e-02,0.000000000000000000e+00,7.579284447153141535e+00
