t,x,y,a_cmd,a_sat,cte
0.000000000000000000e+00,0.000000000000000000e+00,1.027212654910907075e+00,-1.914981511442531148e-01,-1.914981511442531148e-01,1.027212654910907075e+00
5.000000000000000278e-02,3.207142690605628288e-01,1.016246467813496146e+00,-1.759785415133149622e-01,-1.759785415133149622e-01,1.034123704101953756e+00
1.000000000000000056e-01,6.416970892489913814e-01,1.003780662398052970e+00,-2.216592354402792675e-01,-2.216592354402792675e-01,1.009847329585252140e+00
1.500000000000000222e-01,9.636190557743500307e-01,9.946480211517150227e-01,-1.861315060500998708e-01,-1.861315060500998708e-01,1.018919472495271927e+00
2.000000000000000111e-01,1.288014622807507781e+00,9.834214808887634662e-01,-1.577280948059881227e-01,-1.577280948059881227e-01,1.007833049299665884e+00
2.500000000000000000e-01,1.608986592744735322e+00,9.702908635319517083e-01,-4.975888371277156774e-02,-4.975888371277156774e-02,9.869401752308170073e-01
3.000000000000000444e-01,1.930030730478396572e+00,9.507366802236613124e-01,1.310887915903228250e-02,1.310887915903228250e-02,9.906941560438303762e-01
3.500000000000000333e-01,2.250459080120878586e+00,9.277068892144884060e-01,3.972027014529676964e-02,3.972027014529676964e-02,9.586625105703291405e-01
4.000000000000000222e-01,2.568921621344134376e+00,9.031411226546712800e-01,3.311372682065208406e-02,3.311372682065208406e-02,9.314100988940671177e-01
4.500000000000000111e-01,2.886546970663114386e+00,8.796374203994693497e-01,4.445946091571195691e-02,4.445946091571195691e-02,9.393537009010161087e-01
5.000000000000000000e-01,3.206951296161178799e+00,8.557902546412005096e-01,7.047341913987191508e-02,7.047341913987191508e-02,8.933303882900058834e-01
5.500000000000000444e-01,3.530970379481495058e+00,8.302160317172349036e-01,3.952439810156715971e-02,3.952439810156715971e-02,8.713041065244457872e-01
6.000000000000000888e-01,3.855882007277936285e+00,8.071325099270884040e-01,7.124362950630694358e-02,7.124362950630694358e-02,8.805105958071488548e-01
6.500000000000000222e-01,4.180997232075344350e+00,7.821692082029140236e-01,9.899059455320649570e-02,9.899059455320649570e-02,7.510362236499120714e-01
7.000000000000000666e-01,4.503624653087403118e+00,7.561339783024055849e-01,1.463600134117511997e-01,1.463600134117511997e-01,5.166591349482322348e-01
7.500000000000000000e-01,4.826821970317038080e+00,7.276119455561170790e-01,1.550453684262204923e-01,1.550453684262204923e-01,2.609163147516910253e-01
8.000000000000000444e-01,5.149451512942863296e+00,6.989344401801461659e-01,1.492780754412336430e-01,1.492780754412336430e-01,2.132736056364382404e-01
8.500000000000000888e-01,5.473513697470294481e+00,6.711415605264828832e-01,1.793432518588813640e-01,1.793432518588813640e-01,2.342331492242001878e-01
9.000000000000000222e-01,5.798507035389301123e+00,6.419590802899615145e-01,1.467673711550679938e-01,1.467673711550679938e-01,5.258098742544965454e-01
9.500000000000000666e-01,6.123141615578772345e+00,6.152577962315977089e-01,2.013031422921262859e-01,2.013031422921262859e-01,6.801982333102950529e-01
1.000000000000000000e+00,6.451727568325597240e+00,5.856197103189985098e-01,1.451732211263309091e-01,1.451732211263309091e-01,6.686597768138275999e-01
1.050000000000000044e+00,6.784284798992134213e+00,5.600249593645734159e-01,1.318929243082657965e-01,1.318929243082657965e-01,6.598944649545123164e-01
1.100000000000000089e+00,7.118832290399534024e+00,5.355793479170498639e-01,7.109994822205778497e-02,7.109994822205778497e-02,6.113476256412202492e-01
