t,x,y,a_cmd,a_sat,cte
0.000000000000000000e+00,0.000000000000000000e+00,1.027212654910907075e+00,-4.087381892066875189e+00,-1.600000000000000089e+00,1.027212654910907075e+00
5.000000000000000278e-02,3.207142690605628288e-01,1.016246467813496146e+00,-4.112623239010405385e+00,-1.600000000000000089e+00,1.034123704101953756e+00
1.000000000000000056e-01,6.416256490812090041e-01,1.003198151184350406e+00,-8.500376617895762932e-01,-8.500376617895762932e-01,1.009263996504275784e+00
1.500000000000000222e-01,9.633399022957920277e-01,9.924092054647936090e-01,-7.859868877474207594e-01,-7.859868877474207594e-01,1.016753847690444079e+00
2.000000000000000111e-01,1.287374048715910435e+00,9.783727182689171409e-01,-7.021949882563497392e-01,-7.021949882563497392e-01,1.002747020446750348e+00
2.500000000000000000e-01,1.607815141915438062e+00,9.612241578244112850e-01,-5.368461142522739094e-01,-5.368461142522739094e-01,9.778908443023532904e-01
3.000000000000000444e-01,1.928146708820914546e+00,9.364219627942771407e-01,-4.206142684738958804e-01,-4.206142684738958804e-01,9.770104763366865841e-01
3.500000000000000333e-01,2.247673262675039751e+00,9.069195255607309658e-01,-3.347139126304632950e-01,-3.347139126304632950e-01,9.376895495203501074e-01
4.000000000000000222e-01,2.565041752070138958e+00,8.746830567681580515e-01,-3.021723845982706158e-01,-3.021723845982706158e-01,9.031942260019572011e-01
4.500000000000000111e-01,2.881382295808193383e+00,8.423571624672565594e-01,-2.533714764010797649e-01,-2.533714764010797649e-01,9.045005700082331401e-01
5.000000000000000000e-01,3.200314980598867987e+00,8.085912427593067164e-01,-1.788165637333109514e-01,-1.788165637333109514e-01,8.456937013217565857e-01
5.500000000000000444e-01,3.522681850444131069e+00,7.720628284662782725e-01,-1.784974264434069369e-01,-1.784974264434069369e-01,8.142177318569487898e-01
6.000000000000000888e-01,3.845770212047240122e+00,7.370604276060552795e-01,-9.249120364829378771e-02,-9.249120364829378771e-02,8.104909013447394450e-01
6.500000000000000222e-01,4.168901166379037626e+00,6.992853746832614625e-01,-1.457301517572287541e-02,-1.457301517572287541e-02,7.450853764805267510e-01
7.000000000000000666e-01,4.489396823804060688e+00,6.596274544641124171e-01,8.376701082394402698e-02,8.376701082394402698e-02,5.693274069108441582e-01
7.500000000000000000e-01,4.810331158706800281e+00,6.167604285621679505e-01,1.398810992016055466e-01,1.398810992016055466e-01,3.622342967109136724e-01
8.000000000000000444e-01,5.130585788570919625e+00,5.731100658708363493e-01,1.697369990255367667e-01,1.697369990255367667e-01,1.584644059086524615e-01
8.500000000000000888e-01,5.452181797978639111e+00,5.298144201901078265e-01,2.439586628229092058e-01,2.439586628229092058e-01,1.682099659708941597e-01
9.000000000000000222e-01,5.774638121622699849e+00,4.846953967688545362e-01,2.436751741616407785e-01,2.436751741616407785e-01,4.006244285363140256e-01
9.500000000000000666e-01,6.096686554831190819e+00,4.417217701080140557e-01,3.395924271197905964e-01,3.395924271197905964e-01,5.058878876735517505e-01
1.000000000000000000e+00,6.422657248749423786e+00,3.955704991917710078e-01,2.985502302493847626e-01,2.985502302493847626e-01,4.928576869354075463e-01
1.050000000000000044e+00,6.752591650625991093e+00,3.533175353921881312e-01,3.134918748273259892e-01,3.134918748273259892e-01,4.543298751316632300e-01
1.100000000000000089e+00,7.084526271130101804e+00,3.121549682397318226e-01,2.671172467897500180e-01,2.671172467897500180e-01,3.868465652869887417e-01
1.150000000000000133e+00,7.415553689707706120e+00,2.753263868085087940e-01,1.896731166593332851e-01,1.896731166593332851e-01,3.910305713626162083e-01
1.200000000000000178e+00,7.751723578115935709e+00,2.437566061588065935e-01,1.869685351931594797e-01,1.869685351931594797e-01,3.669886667507458733e-01
1.250000000000000000e+00,8.091276319862002353e+00,2.135803193168920311e-01,2.101740639899321583e-01,2.101740639899321583e-01,2.992643137847800228e-01
1.300000000000000044e+00,8.427488736137830116e+00,1.838379474275067538e-01,2.948384490306739658e-01,2.948384490306739658e-01,3.099362215079596861e-01
1.350000000000000089e+00,8.765342301785070234e+00,1.511424961315877280e-01,2.908470195873995023e-01,2.908470195873995023e-01,3.097296734659036321e-01
1.400000000000000133e+00,9.104136563977075269e+00,1.201334217507999541e-01,3.695770992763178775e-01,3.695770992763178775e-01,2.189551599494225509e-01
1.450000000000000178e+00,9.444667057396349819e+00,8.655861565784780942e-02,4.126406459136118809e-01,4.126406459136118809e-01,2.226123774716895765e-01
1.500000000000000000e+00,9.783327504883686743e+00,5.249695482097140042e-02,3.396553463951970664e-01,3.396553463951970664e-01,2.674318395666185899e-01
1.550000000000000044e+00,1.011880147557327270e+01,2.380093550623687756e-02,3.345878907687649950e-01,3.345878907687649950e-01,1.425295739859235855e-01
1.600000000000000089e+00,1.045291229991664217e+01,-3.286001225634327394e-03,2.604402511974787116e-01,2.604402511974787116e-01,1.504006858045573714e-01
1.650000000000000133e+00,1.078630607920311668e+01,-2.542322403377488341e-02,2.304939394220595628e-01,2.304939394220595628e-01,2.448208579038798072e-01
1.700000000000000178e+00,1.112317406164119582e+01,-4.518346160047069515e-02,2.341098158237636673e-01,2.341098158237636673e-01,9.998326744026224400e-02
1.750000000000000000e+00,1.145413309540328406e+01,-6.414636229136283507e-02,1.832223931346539936e-01,1.832223931346539936e-01,1.120591022261383796e-01
1.800000000000000044e+00,1.178689470532606798e+01,-7.980525654996382945e-02,8.811476462888036265e-02,8.811476462888036265e-02,2.407095352144134615e-01
1.850000000000000089e+00,1.211798333768797420e+01,-9.005191747160275206e-02,1.219937746339966739e-01,1.219937746339966739e-01,8.085059630208643600e-02
1.900000000000000133e+00,1.244554176315693184e+01,-1.015876138254718786e-01,1.180193664245347551e-01,1.180193664245347551e-01,1.020803332884584746e-01
1.950000000000000178e+00,1.277557911507303956e+01,-1.125523383897439611e-01,1.061151976343845948e-01,1.061151976343845948e-01,2.337293225387198636e-01
