t_s,x_east,y_north,v_east,v_north,a_cmd,path_idx,cte_m
2.519791126251220703e-01,-6.701622623950242996e-04,3.281583078205585480e-03,2.067359164357185364e-03,-5.795763339847326279e-03,-8.799610989251653581e-02,0.000000000000000000e+00,5.583230470712981404e-04
4.992771148681640625e-01,-2.035098732449114323e-04,3.837412688881158829e-03,2.943681739270687103e-02,2.209614962339401245e-03,-8.818029540719023174e-02,0.000000000000000000e+00,5.367730289300364725e-04
7.486820220947265625e-01,3.157759085297584534e-02,6.156818475574254990e-03,2.942776978015899658e-01,5.276515614241361618e-03,-8.598596881202112685e-02,0.000000000000000000e+00,3.240113155394267613e-02
9.972579479217529297e-01,1.721195280551910400e-01,6.137668155133724213e-03,9.142313599586486816e-01,-1.024455297738313675e-02,-5.599073544901645057e-03,0.000000000000000000e+00,1.728751372875317605e-01
1.245203018188476562e+00,4.841065406799316406e-01,2.873477060347795486e-03,1.673425078392028809e+00,-2.385377511382102966e-02,-1.118632910067311574e-02,1.000000000000000000e+00,7.926870841508712462e-02
1.497669219970703125e+00,9.762772321701049805e-01,-2.133398782461881638e-03,2.380952835083007812e+00,-3.001989610493183136e-02,-2.164336001908415824e-02,2.000000000000000000e+00,8.505223413843705782e-02
1.750522136688232422e+00,1.637203335762023926e+00,-9.259727783501148224e-03,3.029353857040405273e+00,-4.132510349154472351e-02,-2.594587156430852581e-02,3.000000000000000000e+00,8.086930577353335092e-02
1.997186183929443359e+00,2.461821317672729492e+00,-2.148546464741230011e-02,3.646167516708374023e+00,-6.697759777307510376e-02,-1.865536045538628354e-02,5.000000000000000000e+00,9.436775211516794382e-02
2.250260114669799805e+00,3.426406621932983398e+00,-4.137957096099853516e-02,4.207898616790771484e+00,-1.028552427887916565e-01,-1.865748401265928443e-03,7.000000000000000000e+00,1.241442512647453339e-01
2.498589992523193359e+00,4.506686210632324219e+00,-6.983027607202529907e-02,4.565904617309570312e+00,-1.235414668917655945e-01,9.466027776220938342e-03,9.000000000000000000e+00,4.179134836440020345e-02
2.751396179199218750e+00,5.654603481292724609e+00,-9.968388080596923828e-02,4.718793869018554688e+00,-1.114555224776268005e-01,-1.668202009130980833e-03,1.100000000000000000e+01,1.189526642517800270e-01
2.998213052749633789e+00,6.828231334686279297e+00,-1.252914369106292725e-01,4.785099506378173828e+00,-9.768863022327423096e-02,-1.387943237496083899e-02,1.400000000000000000e+01,2.017297903543379123e-01
3.245626211166381836e+00,8.023342132568359375e+00,-1.501327008008956909e-01,4.828382492065429688e+00,-9.586434811353683472e-02,-1.639952764038591845e-02,1.600000000000000000e+01,2.071579634670566231e-02
3.495877265930175781e+00,9.228572845458984375e+00,-1.759474277496337891e-01,4.874311447143554688e+00,-9.941760450601577759e-02,-1.544504162049260138e-02,1.800000000000000000e+01,2.112867744802929826e-01
3.746742963790893555e+00,1.045547866821289062e+01,-2.033125907182693481e-01,4.926159858703613281e+00,-1.033066362142562866e-01,-1.315728059315789469e-02,2.100000000000000000e+01,5.944927749380796156e-02
3.997543096542358398e+00,1.169987964630126953e+01,-2.317620813846588135e-01,4.976412773132324219e+00,-1.062310263514518738e-01,-1.145565958097680137e-02,2.300000000000000000e+01,1.959675492797285368e-01
4.253050088882446289e+00,1.294049167633056641e+01,-2.600014805793762207e-01,5.022819995880126953e+00,-1.084031164646148682e-01,-1.032682710441118132e-02,2.600000000000000000e+01,6.078547369261731032e-02
4.501190185546875000e+00,1.419181442260742188e+01,-2.892125248908996582e-01,5.066761016845703125e+00,-1.107678860425949097e-01,-9.419966469110398199e-03,2.800000000000000000e+01,2.010601557771872216e-01
4.751029968261718750e+00,1.544965744018554688e+01,-3.188363611698150635e-01,5.106151103973388672e+00,-1.118810474872589111e-01,-8.691515158317350900e-03,3.100000000000000000e+01,3.943103317400931812e-02
4.998632192611694336e+00,1.672633171081542969e+01,-3.495027422904968262e-01,5.135899543762207031e+00,-1.124009564518928528e-01,-8.088630469761786193e-03,3.300000000000000000e+01,2.485031969402148599e-01
