t_s,x_east,y_north,v_east,v_north,a_cmd,path_idx,cte_m
2.469658851623535156e-01,1.036686473526060581e-03,1.594955392647534609e-04,3.402209142223000526e-03,-5.682073533535003662e-03,-8.757084580326661427e-02,0.000000000000000000e+00,1.885102955157290112e-03
5.001690387725830078e-01,1.715921913273632526e-03,3.271054883953183889e-04,3.101500496268272400e-02,3.407230367884039879e-03,-8.763391952838499310e-02,0.000000000000000000e+00,1.764645951547425939e-03
7.452678680419921875e-01,3.378878161311149597e-02,3.010620130226016045e-03,2.971848845481872559e-01,5.977190099656581879e-03,-8.559012591795543690e-02,0.000000000000000000e+00,3.254483936517907350e-02
9.996039867401123047e-01,1.756603270769119263e-01,3.587858984246850014e-03,9.211615324020385742e-01,-9.288040921092033386e-03,-6.145389128606672420e-03,0.000000000000000000e+00,1.744085969046359763e-01
1.246289968490600586e+00,4.898706078529357910e-01,1.207748195156455040e-03,1.682965040206909180e+00,-2.182292751967906952e-02,-1.298691685477865003e-02,1.000000000000000000e+00,7.552278727655278856e-02
1.495177984237670898e+00,9.809222817420959473e-01,-2.641688333824276924e-03,2.387144804000854492e+00,-2.700391411781311035e-02,-2.462865316080331893e-02,2.000000000000000000e+00,8.262422774648391088e-02
1.748133182525634766e+00,1.640095829963684082e+00,-8.458541706204414368e-03,3.034555912017822266e+00,-3.814731538295745850e-02,-2.931824671466893434e-02,3.000000000000000000e+00,8.228637190376587862e-02
1.996401786804199219e+00,2.463514566421508789e+00,-1.968719996511936188e-02,3.651930809020996094e+00,-6.511277705430984497e-02,-2.127404584424313211e-02,5.000000000000000000e+00,9.571105830379056378e-02
2.245947837829589844e+00,3.431102752685546875e+00,-3.924863412976264954e-02,4.214537143707275391e+00,-1.030649915337562561e-01,-3.108233374428461503e-03,7.000000000000000000e+00,1.225023544628903588e-01
2.497201919555664062e+00,4.518877983093261719e+00,-6.684586405754089355e-02,4.572515487670898438e+00,-1.247557550668716431e-01,8.725031937474208785e-03,9.000000000000000000e+00,3.701561729161124276e-02
2.747967958450317383e+00,5.670029163360595703e+00,-9.581558406352996826e-02,4.722977161407470703e+00,-1.138785630464553833e-01,-1.368384330582099071e-03,1.100000000000000000e+01,1.330473625247064473e-01
2.998305082321166992e+00,6.849298954010009766e+00,-1.223341375589370728e-01,4.785530090332031250e+00,-1.022842600941658020e-01,-1.191011015527706010e-02,1.400000000000000000e+01,1.834626123536259867e-01
3.244738101959228516e+00,8.043298721313476562e+00,-1.489717215299606323e-01,4.825805664062500000e+00,-1.018591895699501038e-01,-1.273463580511097204e-02,1.600000000000000000e+01,2.973549582349817658e-02
3.500082969665527344e+00,9.245725631713867188e+00,-1.766934096813201904e-01,4.870636940002441406e+00,-1.057555451989173889e-01,-1.078016676136018051e-02,1.800000000000000000e+01,2.264763939048898278e-01
3.750827074050903320e+00,1.046547794342041016e+01,-2.055712789297103882e-01,4.923491954803466797e+00,-1.090072542428970337e-01,-8.530512326821402050e-03,2.100000000000000000e+01,5.200159753909374544e-02
3.996083974838256836e+00,1.170712280273437500e+01,-2.354367226362228394e-01,4.978069305419921875e+00,-1.109840050339698792e-01,-7.247108161891948133e-03,2.300000000000000000e+01,2.010356736512369236e-01
4.250915050506591797e+00,1.295468997955322266e+01,-2.656725645065307617e-01,5.028044223785400391e+00,-1.117937117815017700e-01,-6.746420513565642638e-03,2.600000000000000000e+01,4.804255646015096609e-02
4.498431921005249023e+00,1.421529769897460938e+01,-2.961139976978302002e-01,5.071406841278076172e+00,-1.122437193989753723e-01,-6.899660428114037444e-03,2.800000000000000000e+01,2.221654650915960982e-01
4.750005960464477539e+00,1.548607730865478516e+01,-3.259249329566955566e-01,5.105618953704833984e+00,-1.122347116470336914e-01,-7.035540846931626242e-03,3.100000000000000000e+01,1.506384327140350594e-02
4.996685028076171875e+00,1.675901031494140625e+01,-3.559818267822265625e-01,5.124486923217773438e+00,-1.118746027350425720e-01,-7.090219199984281774e-03,3.400000000000000000e+01,2.192494562619494991e-01
5.246968030929565430e+00,1.803277778625488281e+01,-3.864382505416870117e-01,5.133788108825683594e+00,-1.112856939435005188e-01,-7.448580310681569665e-03,3.600000000000000000e+01,6.155738489881330822e-02
5.499264955520629883e+00,1.930884933471679688e+01,-4.171856343746185303e-01,5.140294551849365234e+00,-1.098742932081222534e-01,-7.898074726803587520e-03,3.900000000000000000e+01,1.559142699278060207e-01
5.747031927108764648e+00,2.058309364318847656e+01,-4.472460746765136719e-01,5.143783092498779297e+00,-1.074722036719322205e-01,-9.252352062171849412e-03,4.100000000000000000e+01,1.243798125628276935e-01
5.999235153198242188e+00,2.186736297607421875e+01,-4.766381084918975830e-01,5.143192291259765625e+00,-1.044692322611808777e-01,-1.174876155775891363e-02,4.400000000000000000e+01,8.414052753327935785e-02
6.247610807418823242e+00,2.315161132812500000e+01,-5.061802268028259277e-01,5.136796474456787109e+00,-1.019313260912895203e-01,-1.319485909468050971e-02,4.600000000000000000e+01,2.060707256977153123e-01
6.496679782867431641e+00,2.443144226074218750e+01,-5.350624322891235352e-01,5.126828670501708984e+00,-9.949655830860137939e-02,-1.525655021021196829e-02,4.900000000000000000e+01,1.000983291548332606e-02
6.748338937759399414e+00,2.571019744873046875e+01,-5.631474256515502930e-01,5.115346431732177734e+00,-9.689577668905258179e-02,-1.698462741001226586e-02,5.200000000000000000e+01,2.198302881491837890e-01
6.999157905578613281e+00,2.698674011230468750e+01,-5.897849202156066895e-01,5.101297378540039062e+00,-9.400781244039535522e-02,-2.007671175000279307e-02,5.400000000000000000e+01,6.312934275460480027e-02
7.246356964111328125e+00,2.826030158996582031e+01,-6.164436340332031250e-01,5.085838794708251953e+00,-9.183857589960098267e-02,-2.165806009804931154e-02,5.700000000000000000e+01,1.568689321323848973e-01
7.497511863708496094e+00,2.953047943115234375e+01,-6.428432464599609375e-01,5.070527076721191406e+00,-9.050410985946655273e-02,-2.361935259405470791e-02,5.900000000000000000e+01,1.201088671481028158e-01
7.750793933868408203e+00,3.079344367980957031e+01,-6.689674854278564453e-01,5.056707382202148438e+00,-8.959142863750457764e-02,-2.422649390467838254e-02,6.200000000000000000e+01,1.113745377611192050e-01
8.000829935073852539e+00,3.205770492553710938e+01,-6.943848729133605957e-01,5.044983863830566406e+00,-8.875922113656997681e-02,-2.619802260518588194e-02,6.400000000000000000e+01,1.608812646996564677e-01
8.251643896102905273e+00,3.333019256591796875e+01,-7.195812463760375977e-01,5.035225868225097656e+00,-8.821769058704376221e-02,-2.689176066950896976e-02,6.700000000000000000e+01,6.472495720128657037e-02
8.498713970184326172e+00,3.459444427490234375e+01,-7.441996932029724121e-01,5.025701045989990234e+00,-8.798381686210632324e-02,-2.878487510259915283e-02,6.900000000000000000e+01,2.112989906802893170e-01
8.751638889312744141e+00,3.585472488403320312e+01,-7.688884139060974121e-01,5.015401363372802734e+00,-8.825373649597167969e-02,-2.877584600523155900e-02,7.200000000000000000e+01,3.881626847873052150e-02
