t_s,x_east,y_north,v_east,v_north,a_cmd,path_idx,cte_m
2.507739067077636719e-01,5.383872776292264462e-04,1.105013536289334297e-03,2.177655929699540138e-03,-4.965670872479677200e-03,-4.201241690173992960e-02,0.000000000000000000e+00,9.157561539487065307e-04
5.018711090087890625e-01,9.378532413393259048e-04,1.204145140945911407e-03,3.050303086638450623e-02,2.674866700544953346e-03,-4.204658698543912304e-02,0.000000000000000000e+00,5.775797487909365303e-04
7.503941059112548828e-01,3.291488438844680786e-02,3.817668883129954338e-03,2.990347445011138916e-01,5.760385654866695404e-03,-4.309633692860093124e-02,0.000000000000000000e+00,3.175060138359584588e-02
9.972229003906250000e-01,1.744336634874343872e-01,4.810941405594348907e-03,9.231612682342529297e-01,-5.579721648246049881e-03,-2.896644193975727276e-03,1.000000000000000000e+00,4.032244736275791136e-02
1.253392934799194336e+00,4.903428554534912109e-01,3.466091351583600044e-03,1.686837911605834961e+00,-1.439818646758794785e-02,-4.284222347113489718e-03,2.000000000000000000e+00,1.405508952972604197e-01
1.501045942306518555e+00,9.831851124763488770e-01,1.807699562050402164e-03,2.391489744186401367e+00,-1.351748965680599213e-02,-1.238829871545201952e-02,3.000000000000000000e+00,1.443309007727856808e-01
1.748667955398559570e+00,1.640024662017822266e+00,-2.642101026140153408e-04,3.034753084182739258e+00,-1.758550480008125305e-02,-1.560259343198856091e-02,4.000000000000000000e+00,2.208361839467541665e-02
1.999473094940185547e+00,2.456743717193603516e+00,-6.245942320674657822e-03,3.647387742996215820e+00,-3.682526946067810059e-02,-6.579830242975201644e-03,6.000000000000000000e+00,1.606328258722473090e-01
2.250982046127319336e+00,3.427611589431762695e+00,-1.910263299942016602e-02,4.213649272918701172e+00,-6.611352413892745972e-02,1.216764673759136543e-02,8.000000000000000000e+00,1.821742337138950729e-01
2.503254890441894531e+00,4.525687694549560547e+00,-3.720240294933319092e-02,4.573667526245117188e+00,-7.856193929910659790e-02,2.106828363008000915e-02,1.000000000000000000e+01,7.666075670295058320e-02
2.751636981964111328e+00,5.674948215484619141e+00,-5.428139865398406982e-02,4.722323894500732422e+00,-6.115958094596862793e-02,7.509985327538931145e-03,1.200000000000000000e+01,8.045061288264369892e-02
3.001660823822021484e+00,6.849681377410888672e+00,-6.699883192777633667e-02,4.785729408264160156e+00,-4.591099917888641357e-02,-5.051684854774751710e-03,1.500000000000000000e+01,2.341040521863317070e-01
3.249922990798950195e+00,8.044724464416503906e+00,-7.792729884386062622e-02,4.828788757324218750e+00,-4.288023337721824646e-02,-8.209053660471286179e-03,1.700000000000000000e+01,3.225290759235407284e-02
3.497989177703857422e+00,9.248801231384277344e+00,-8.922181278467178345e-02,4.875132083892822266e+00,-4.519126564264297485e-02,-7.510275380810596882e-03,1.900000000000000000e+01,1.796117727173266732e-01
3.749588966369628906e+00,1.047065830230712891e+01,-1.016513183712959290e-01,4.926508903503417969e+00,-4.819570854306221008e-02,-5.645484076638821250e-03,2.200000000000000000e+01,8.815260637815133804e-02
4.000838756561279297e+00,1.170269012451171875e+01,-1.150568276643753052e-01,4.979175567626953125e+00,-5.058728903532028198e-02,-4.050908699313268517e-03,2.400000000000000000e+01,1.515987211962132597e-01
4.249708890914916992e+00,1.295616436004638672e+01,-1.299201101064682007e-01,5.029178142547607422e+00,-5.276279896497726440e-02,-2.271783110364082765e-03,2.700000000000000000e+01,8.443575163058437971e-02
4.502131938934326172e+00,1.422542095184326172e+01,-1.460343301296234131e-01,5.068742752075195312e+00,-5.500875040888786316e-02,-1.085054681024069802e-04,2.900000000000000000e+01,1.922980708074373546e-01
4.748594999313354492e+00,1.548684215545654297e+01,-1.626412570476531982e-01,5.098691463470458984e+00,-5.574949085712432861e-02,1.223037146866588938e-03,3.200000000000000000e+01,3.544404694430480091e-02
5.001969814300537109e+00,1.675549697875976562e+01,-1.788317710161209106e-01,5.124200344085693359e+00,-5.408712476491928101e-02,5.161059437750691557e-04,3.400000000000000000e+01,2.404991338485050756e-01
5.250644922256469727e+00,1.802643775939941406e+01,-1.939315497875213623e-01,5.142789840698242188e+00,-5.046416819095611572e-02,-1.997880075717757206e-03,3.700000000000000000e+01,2.270799330866812155e-02
5.501034975051879883e+00,1.931100273132324219e+01,-2.087071090936660767e-01,5.154187679290771484e+00,-4.733525589108467102e-02,-4.208071740192416768e-03,4.000000000000000000e+01,1.824139206987564210e-01
5.747156858444213867e+00,2.058532142639160156e+01,-2.232539206743240356e-01,5.156909942626953125e+00,-4.464645311236381531e-02,-5.980790878508038602e-03,4.200000000000000000e+01,9.945732741491129791e-02
5.998045921325683594e+00,2.186660575866699219e+01,-2.370683401823043823e-01,5.153884410858154297e+00,-4.173780977725982666e-02,-8.289606384070096617e-03,4.500000000000000000e+01,1.088513821182710284e-01
6.249200105667114258e+00,2.315205192565917969e+01,-2.500994503498077393e-01,5.144086837768554688e+00,-3.889212012290954590e-02,-1.051326035060331371e-02,4.700000000000000000e+01,1.841377333768350055e-01
6.504131078720092773e+00,2.445186805725097656e+01,-2.627049684524536133e-01,5.128618240356445312e+00,-3.624556213617324829e-02,-1.305209975446770636e-02,5.000000000000000000e+01,7.193425239194462667e-03
6.753484964370727539e+00,2.573126411437988281e+01,-2.748167216777801514e-01,5.111339569091796875e+00,-3.418029844760894775e-02,-1.475210138166777735e-02,5.300000000000000000e+01,2.151485708890574500e-01
6.998803853988647461e+00,2.700710487365722656e+01,-2.859649658203125000e-01,5.094317436218261719e+00,-3.167717158794403076e-02,-1.761669440357332278e-02,5.500000000000000000e+01,6.794005172529098135e-02
7.248718976974487305e+00,2.827484130859375000e+01,-2.959996163845062256e-01,5.078227996826171875e+00,-2.928224019706249237e-02,-2.004427460092124413e-02,5.800000000000000000e+01,1.535608771717649479e-01
