x_east,y_north
1.235022093169391155e-03,1.699411775916814804e-03
1.342925438434386387e-01,9.912195506943111134e-04
6.306794219809248592e-01,-4.292920451001130087e-03
1.127066300118411135e+00,-9.577060452696571288e-03
1.623453178255897189e+00,-1.486120045439201162e-02
2.119840056393383687e+00,-2.014534045608745369e-02
2.616226934530870185e+00,-2.542948045778289576e-02
3.112613812668355795e+00,-3.071362045947833436e-02
3.609000690805841849e+00,-3.599776046117377643e-02
4.105387568943328347e+00,-4.128190046286921849e-02
4.601774447080814845e+00,-4.656604046456466056e-02
5.098161325218300455e+00,-5.185018046626010263e-02
5.594548203355786953e+00,-5.713432046795554470e-02
6.090935081493272563e+00,-6.241846046965097983e-02
6.587321959630760837e+00,-6.770260047134643577e-02
7.083708837768245559e+00,-7.298674047304186396e-02
7.580095715905733833e+00,-7.827088047473731991e-02
8.076482594043218555e+00,-8.355502047643274810e-02
8.572869472180704165e+00,-8.883916047812817629e-02
9.069256350318191551e+00,-9.412330047982363224e-02
9.565643228455677161e+00,-9.940744048151906043e-02
1.006203010659316455e+01,-1.046915804832145164e-01
1.055841698473064838e+01,-1.099757204849099446e-01
1.105480386286813754e+01,-1.152598604866054005e-01
1.155119074100562138e+01,-1.205440004883008287e-01
1.204757761914310699e+01,-1.258281404899962708e-01
1.254396449728059437e+01,-1.311122804916917128e-01
1.304035137541808176e+01,-1.363964204933871827e-01
1.353673825355556382e+01,-1.416805604950825970e-01
1.403312513169305120e+01,-1.469647004967780390e-01
1.452951200983053681e+01,-1.522488404984734811e-01
1.502589888796802597e+01,-1.575329805001689509e-01
1.552228576610550981e+01,-1.628171205018643652e-01
1.601867264424299719e+01,-1.681012605035598073e-01
1.651505952238048280e+01,-1.733854005052552494e-01
1.701144640051796486e+01,-1.786695405069506637e-01
1.750783327865545402e+01,-1.839536805086461335e-01
1.800422015679294319e+01,-1.892378205103415756e-01
1.850060703493042880e+01,-1.945219605120370177e-01
1.899699391306791085e+01,-1.998061005137324320e-01
1.949338079120540002e+01,-2.050902405154279295e-01
1.998976766934288918e+01,-2.103743805171233439e-01
2.048615454748037124e+01,-2.156585205188187859e-01
2.098254142561785685e+01,-2.209426605205142002e-01
2.147892830375534245e+01,-2.262268005222096701e-01
2.197531518189283162e+01,-2.315109405239051121e-01
2.247170206003031723e+01,-2.367950805256005542e-01
2.296808893816780284e+01,-2.420792205272959685e-01
2.346447581630528845e+01,-2.473633605289914383e-01
2.396086269444277406e+01,-2.526475005306868526e-01
2.445724957258026322e+01,-2.579316405323822670e-01
2.495363645071774883e+01,-2.632157805340777368e-01
2.545002332885523444e+01,-2.684999205357732066e-01
2.594641020699272360e+01,-2.737840605374686764e-01
2.644279708513020921e+01,-2.790682005391640907e-01
2.693918396326769127e+01,-2.843523405408595051e-01
2.743557084140518043e+01,-2.896364805425549749e-01
2.793195771954266604e+01,-2.949206205442503892e-01
2.842834459768015165e+01,-3.002047605459458590e-01
2.892473147581763726e+01,-3.054889005476412733e-01
2.942111835395512642e+01,-3.107730405493366876e-01
2.991750523209261559e+01,-3.160571805510322130e-01
3.041389211023009409e+01,-3.213413205527275718e-01
3.091027898836758325e+01,-3.266254605544230971e-01
3.140666586650506531e+01,-3.319096005561184559e-01
3.190305274464255447e+01,-3.371937405578139257e-01
3.239943962278004363e+01,-3.424778805595093956e-01
3.289582650091752924e+01,-3.477620205612048099e-01
3.339221337905501485e+01,-3.530461605629002797e-01
3.388860025719249336e+01,-3.583303005645956385e-01
3.438498713532998607e+01,-3.636144405662911083e-01
3.488137401346747168e+01,-3.688985805679865781e-01
3.537776089160495729e+01,-3.741827205696819925e-01
3.587414776974245001e+01,-3.794668605713774623e-01
3.637053464787992851e+01,-3.847510005730728766e-01
3.686692152601742123e+01,-3.900351405747683464e-01
3.736330840415489973e+01,-3.953192805764637607e-01
3.785969528229238534e+01,-4.006034205781591750e-01
3.835608216042987806e+01,-4.058875605798546449e-01
3.885246903856736367e+01,-4.111717005815501702e-01
3.934885591670484928e+01,-4.164558405832455845e-01
3.984524279484233489e+01,-4.217399805849409988e-01
4.034162967297982050e+01,-4.270241205866364131e-01
4.083801655111730611e+01,-4.323082605883318830e-01
4.133440342925479172e+01,-4.375924005900272973e-01
4.183079030739227733e+01,-4.428765405917227116e-01
4.232717718552977004e+01,-4.481606805934182369e-01
4.282356406366724855e+01,-4.534448205951135957e-01
4.331995094180474126e+01,-4.587289605968090100e-01
4.381633781994222687e+01,-4.640131005985045354e-01
4.431272469807970538e+01,-4.692972406001999497e-01
4.480911157621719809e+01,-4.745813806018954195e-01
4.530549845435467660e+01,-4.798655206035908338e-01
4.580188533249216931e+01,-4.851496606052862481e-01
4.629827221062965492e+01,-4.904338006069817735e-01
4.679465908876714053e+01,-4.957179406086771878e-01
4.729104596690463325e+01,-5.010020806103725466e-01
4.778743284504211175e+01,-5.062862206120679609e-01
4.828381972317959736e+01,-5.115703606137634862e-01
4.878020660131709008e+01,-5.168545006154589005e-01
4.927659347945456858e+01,-5.221386406171543149e-01
4.977298035759206130e+01,-5.274227806188498402e-01
5.026936723572954691e+01,-5.327069206205452545e-01
5.076575411386703252e+01,-5.379910606222406688e-01
5.126214099200451813e+01,-5.432752006239360831e-01
5.175852787014201084e+01,-5.485593406256316085e-01
5.225491474827948934e+01,-5.538434806273269118e-01
5.275130162641697495e+01,-5.591276206290224371e-01
5.324768850455445346e+01,-5.644117606307178514e-01
5.374407538269194617e+01,-5.696959006324133767e-01
5.424046226082943178e+01,-5.749800406341089021e-01
5.473684913896692450e+01,-5.802641806358043164e-01
5.523323601710440300e+01,-5.855483206374996197e-01
5.572962289524188861e+01,-5.908324606391950340e-01
5.622600977337938133e+01,-5.961166006408905593e-01
5.672239665151686694e+01,-6.014007406425859736e-01
5.721878352965435965e+01,-6.066848806442814990e-01
5.771517040779183816e+01,-6.119690206459768023e-01
5.821155728592932377e+01,-6.172531606476723276e-01
5.870794416406681648e+01,-6.225373006493677419e-01
5.920433104220430209e+01,-6.278214406510632672e-01
5.970071792034179481e+01,-6.331055806527586816e-01
6.019710479847925910e+01,-6.383897206544540959e-01
6.069349167661675182e+01,-6.436738606561493992e-01
6.118987855475423743e+01,-6.489580006578449245e-01
6.168626543289173014e+01,-6.542421406595404498e-01
6.218265231102921575e+01,-6.595262806612358641e-01
6.267903918916669426e+01,-6.648104206629312785e-01
6.317542606730418697e+01,-6.700945606646266928e-01
6.367181294544167258e+01,-6.753787006663222181e-01
6.416819982357915819e+01,-6.806628406680176324e-01
6.466458670171665801e+01,-6.859469806697130467e-01
6.516097357985412941e+01,-6.912311206714084610e-01
6.565736045799161502e+01,-6.965152606731038754e-01
6.615374733612910063e+01,-7.017994006747992897e-01
