t_s,x_east,y_north,v_east,v_north,a_cmd,path_idx,cte_m
2.463390827178955078e-01,-5.093639250844717026e-03,6.618902552872896194e-03,5.488103721290826797e-03,-8.809098973870277405e-03,1.716366598905061380e-03,0.000000000000000000e+00,2.282011968887076494e-03
4.991209506988525391e-01,-4.397271666675806046e-03,6.776790134608745575e-03,3.158137947320938110e-02,3.037785878404974937e-03,1.593565168693800160e-03,0.000000000000000000e+00,2.414552318296543567e-03
7.479491233825683594e-01,2.664601244032382965e-02,1.150937937200069427e-02,2.908151149749755859e-01,1.455316506326198578e-02,-2.087337281857504223e-03,0.000000000000000000e+00,3.243208660604928600e-02
9.931499958038330078e-01,1.664273291826248169e-01,1.510343234986066818e-02,9.081862568855285645e-01,1.442275475710630417e-03,-3.532133341914519414e-02,0.000000000000000000e+00,1.722166343098094077e-01
1.245224952697753906e+00,4.795283675193786621e-01,1.523913536220788956e-02,1.668781518936157227e+00,-1.442642230540513992e-02,-2.607554073226638763e-02,1.000000000000000000e+00,7.975791805112110444e-02
1.498681068420410156e+00,9.761874079704284668e-01,1.151138357818126678e-02,2.379994392395019531e+00,-2.930944599211215973e-02,-3.122379274583666001e-02,2.000000000000000000e+00,8.195663050645574099e-02
1.745019912719726562e+00,1.641613006591796875e+00,4.460930358618497849e-03,3.029031038284301758e+00,-4.261707887053489685e-02,-3.817682700871896651e-02,3.000000000000000000e+00,9.197940557093983727e-02
1.997347116470336914e+00,2.450931787490844727e+00,-8.476348593831062317e-03,3.634383440017700195e+00,-7.315742224454879761e-02,-2.679925671459910605e-02,5.000000000000000000e+00,1.024768511921777814e-01
2.247383117675781250e+00,3.409376621246337891e+00,-3.119088895618915558e-02,4.197299480438232422e+00,-1.155755519866943359e-01,8.366664813620973331e-04,7.000000000000000000e+00,1.371286478857560165e-01
2.495830059051513672e+00,4.484795093536376953e+00,-6.309292465448379517e-02,4.561226367950439453e+00,-1.399277895689010620e-01,2.065505531336118625e-02,9.000000000000000000e+00,5.753814023615171080e-02
2.744047164916992188e+00,5.633557796478271484e+00,-9.674558043479919434e-02,4.720507144927978516e+00,-1.284860819578170776e-01,1.073279371217974662e-02,1.100000000000000000e+01,1.027114112719507005e-01
2.993643999099731445e+00,6.802233219146728516e+00,-1.272816509008407593e-01,4.790543079376220703e+00,-1.137419566512107849e-01,-2.647736483093810107e-03,1.400000000000000000e+01,2.220516602437545284e-01
3.243027925491333008e+00,7.994964599609375000e+00,-1.566260010004043579e-01,4.837166786193847656e+00,-1.092139855027198792e-01,-6.476291385735966077e-03,1.600000000000000000e+01,2.517094844497880582e-02
3.497605085372924805e+00,9.206932067871093750e+00,-1.856486797332763672e-01,4.885308265686035156e+00,-1.093750372529029846e-01,-6.191922981606521638e-03,1.800000000000000000e+01,1.938856372593806554e-01
3.750046968460083008e+00,1.044904994964599609e+01,-2.147862315177917480e-01,4.936833858489990234e+00,-1.094609126448631287e-01,-6.470957453916887855e-03,2.100000000000000000e+01,5.649761650560545384e-02
