t_s,x_east,y_north,v_east,v_north,a_cmd,path_idx,cte_m
2.424719333648681641e-01,-5.184331443160772324e-03,7.496908307075500488e-03,5.213962867856025696e-03,-8.631915785372257233e-03,1.352971985986162196e-03,0.000000000000000000e+00,1.745114343009331742e-03
4.929249286651611328e-01,-4.569722805172204971e-03,7.496769540011882782e-03,3.177691996097564697e-02,2.286799019202589989e-03,1.353079915911159503e-03,0.000000000000000000e+00,1.896058780353587683e-03
7.402319908142089844e-01,2.664097957313060760e-02,1.182568911463022232e-02,2.914396226406097412e-01,1.331171113997697830e-02,-3.331362045201569089e-02,1.000000000000000000e+00,1.517122193074254242e-02
9.946250915527343750e-01,1.667118817567825317e-01,1.494668424129486084e-02,9.091139435768127441e-01,-9.363600402139127254e-04,-5.686009099152240787e-03,1.000000000000000000e+00,1.252853622124389110e-01
1.239971160888671875e+00,4.796698093414306641e-01,1.463234052062034607e-02,1.670137643814086914e+00,-1.211875583976507187e-02,-4.740807589433678284e-04,2.000000000000000000e+00,5.720138092450056944e-02
1.493745803833007812e+00,9.757213592529296875e-01,1.396545115858316422e-02,2.382120132446289062e+00,-9.095339104533195496e-03,-9.767654426334825696e-03,3.000000000000000000e+00,5.624476119562009380e-02
1.744686841964721680e+00,1.640895724296569824e+00,1.309906411916017532e-02,3.030850648880004883e+00,-1.135231181979179382e-02,-1.419978979464695847e-02,4.000000000000000000e+00,1.161381503432836054e-01
1.997989892959594727e+00,2.451711177825927734e+00,8.502215147018432617e-03,3.636411666870117188e+00,-2.934959530830383301e-02,-1.575379591008904592e-03,6.000000000000000000e+00,6.484243407558955286e-02
2.251891851425170898e+00,3.411312580108642578e+00,-2.711580367758870125e-03,4.198852539062500000e+00,-5.761685967445373535e-02,2.531416235444403084e-02,8.000000000000000000e+00,9.333703114629783582e-02
2.500172138214111328e+00,4.487462997436523438e+00,-1.895849406719207764e-02,4.561833381652832031e+00,-6.885512173175811768e-02,4.051543764824332150e-02,1.000000000000000000e+01,5.974192387734002588e-03
2.745311021804809570e+00,5.636116981506347656e+00,-3.332717344164848328e-02,4.720996856689453125e+00,-4.809566214680671692e-02,2.404570371406083637e-02,1.200000000000000000e+01,1.536091704985548811e-01
2.993222951889038086e+00,6.805008888244628906e+00,-4.311816021800041199e-02,4.790915966033935547e+00,-2.878725342452526093e-02,6.231988944649445410e-03,1.500000000000000000e+01,1.619308964839132059e-01
3.243551015853881836e+00,7.997512817382812500e+00,-5.048200860619544983e-02,4.837381362915039062e+00,-2.173424884676933289e-02,-1.108463601741458164e-03,1.700000000000000000e+01,4.272341094783815851e-02
3.506394863128662109e+00,9.209284782409667969e+00,-5.694462358951568604e-02,4.885957717895507812e+00,-2.050258591771125793e-02,-3.415470427244646223e-03,2.000000000000000000e+01,2.307852544784041449e-01
3.747890949249267578e+00,1.045164585113525391e+01,-6.338125467300415039e-02,4.938091278076171875e+00,-2.017214521765708923e-02,-5.022969968839803047e-03,2.200000000000000000e+01,2.361864031592684349e-02
3.996213912963867188e+00,1.169026279449462891e+01,-6.949721276760101318e-02,4.988066196441650391e+00,-2.006974443793296814e-02,-6.643200357164128281e-03,2.500000000000000000e+01,2.229962340871530224e-01
4.244538784027099609e+00,1.294023132324218750e+01,-7.567523419857025146e-02,5.034538745880126953e+00,-2.006330527365207672e-02,-8.180105725458439864e-03,2.700000000000000000e+01,3.796207838108131560e-02
4.498296022415161133e+00,1.419641590118408203e+01,-8.211977034807205200e-02,5.073281288146972656e+00,-2.082603611052036285e-02,-8.746524471703187240e-03,3.000000000000000000e+01,1.900674722440234554e-01
4.746638059616088867e+00,1.546573925018310547e+01,-8.878242224454879761e-02,5.103745937347412109e+00,-2.200748771429061890e-02,-8.753193757447527701e-03,3.200000000000000000e+01,8.998000451960881663e-02
4.993435859680175781e+00,1.673959541320800781e+01,-9.610411524772644043e-02,5.126395702362060547e+00,-2.375372126698493958e-02,-7.655566733120502607e-03,3.500000000000000000e+01,1.201428115768129745e-01
5.246510744094848633e+00,1.802068519592285156e+01,-1.037129908800125122e-01,5.139542102813720703e+00,-2.523021958768367767e-02,-6.579580215641531345e-03,3.700000000000000000e+01,1.716489227928610362e-01
5.491492748260498047e+00,1.930539894104003906e+01,-1.121201440691947937e-01,5.140062332153320312e+00,-2.584484964609146118e-02,-5.667997059246614698e-03,4.000000000000000000e+01,2.760688484334834422e-02
5.740038871765136719e+00,2.059270477294921875e+01,-1.204791069030761719e-01,5.133991241455078125e+00,-2.517208456993103027e-02,-6.055127405485432983e-03,4.300000000000000000e+01,2.242512424709555419e-01
5.997150897979736328e+00,2.188717651367187500e+01,-1.292583644390106201e-01,5.124387741088867188e+00,-2.421011589467525482e-02,-6.411414936797170047e-03,4.500000000000000000e+01,8.094845704246825258e-02
6.248567104339599609e+00,2.316669082641601562e+01,-1.375680565834045410e-01,5.113215446472167969e+00,-2.232456207275390625e-02,-7.983225244986347224e-03,4.800000000000000000e+01,1.235329367571725012e-01
6.495619058609008789e+00,2.443890571594238281e+01,-1.453649699687957764e-01,5.101177215576171875e+00,-2.058652415871620178e-02,-9.774194696047103573e-03,5.000000000000000000e+01,1.594113741388892558e-01
6.748124837875366211e+00,2.571237373352050781e+01,-1.525495648384094238e-01,5.089403629302978516e+00,-1.895238459110260010e-02,-1.195322233671746934e-02,5.300000000000000000e+01,5.111081755347046673e-02
6.993924140930175781e+00,2.697819519042968750e+01,-1.593787521123886108e-01,5.077967166900634766e+00,-1.686302758753299713e-02,-1.482967702059250978e-02,5.500000000000000000e+01,2.254178578215390027e-01
7.244798898696899414e+00,2.824370193481445312e+01,-1.654731333255767822e-01,5.065655231475830078e+00,-1.451583672314882278e-02,-1.853195310670031556e-02,5.800000000000000000e+01,7.169193353792234144e-03
7.494050979614257812e+00,2.949900245666503906e+01,-1.716271489858627319e-01,5.055163860321044922e+00,-1.333343144506216049e-02,-2.097782318738650523e-02,6.100000000000000000e+01,2.217455003371191502e-01
7.743726730346679688e+00,3.076066780090332031e+01,-1.777158230543136597e-01,5.049320220947265625e+00,-1.283762417733669281e-02,-2.284692095899465772e-02,6.300000000000000000e+01,5.090692885745708857e-02
7.995568990707397461e+00,3.202995681762695312e+01,-1.842521727085113525e-01,5.045497894287109375e+00,-1.306369714438915253e-02,-2.369178050964112700e-02,6.600000000000000000e+01,1.641786383998058152e-01
8.247189044952392578e+00,3.328688812255859375e+01,-1.902214139699935913e-01,5.042692184448242188e+00,-1.295936387032270432e-02,-2.525724499933302419e-02,6.800000000000000000e+01,1.039267443590400353e-01
8.498486042022705078e+00,3.454467391967773438e+01,-1.960408985614776611e-01,5.040737628936767578e+00,-1.314950268715620041e-02,-2.665490500535314458e-02,7.100000000000000000e+01,1.230670207337570404e-01
8.747609853744506836e+00,3.579872894287109375e+01,-2.018253356218338013e-01,5.038564205169677734e+00,-1.354894973337650299e-02,-2.784940602622237166e-02,7.300000000000000000e+01,1.426910583017697298e-01
8.992969036102294922e+00,3.706158447265625000e+01,-2.082115858793258667e-01,5.036149978637695312e+00,-1.462272554636001587e-02,-2.793779465454312300e-02,7.600000000000000000e+01,8.023921346785267694e-02
9.244493961334228516e+00,3.831280899047851562e+01,-2.142388522624969482e-01,5.032129287719726562e+00,-1.548683643341064453e-02,-2.844483726375571231e-02,7.800000000000000000e+01,1.836228365062477497e-01
