t_s,x_east,y_north,v_east,v_north,a_cmd,path_idx,cte_m
9.782004356384277344e-02,-8.308432064950466156e-03,1.059463992714881897e-02,1.272061746567487717e-02,-1.075246836990118027e-02,-1.000013652050661062e+00,0.000000000000000000e+00,5.924182647925150006e-04
1.944777965545654297e-01,-7.753945887088775635e-03,1.057419274002313614e-02,1.247085817158222198e-02,-1.035230606794357300e-02,-9.999977486828961482e-01,0.000000000000000000e+00,1.146648007313951423e-03
2.930879592895507812e-01,-6.958444602787494659e-03,1.088165305554866791e-02,2.197531238198280334e-02,-5.918558686971664429e-03,-1.000236884483566513e+00,0.000000000000000000e+00,1.965881477872538467e-03
3.993201255798339844e-01,-3.717859275639057159e-03,1.168032363057136536e-02,6.182010471820831299e-02,-5.613801185972988605e-04,-1.000858072694953638e+00,0.000000000000000000e+00,5.298851826642712003e-03
4.974429607391357422e-01,5.758666899055242538e-03,1.279222127050161362e-02,1.488936990499496460e-01,-2.749196486547589302e-03,-1.001722881871661919e+00,0.000000000000000000e+00,1.482567497437916465e-02
5.942401885986328125e-01,2.686867862939834595e-02,1.291537657380104065e-02,2.938184142112731934e-01,-1.697761192917823792e-02,-1.001818669309918697e+00,0.000000000000000000e+00,3.584561608190961479e-02
6.979558467864990234e-01,6.554585695266723633e-02,1.099416520446538925e-02,5.004711747169494629e-01,-4.220898449420928955e-02,3.213612324169877466e-02,0.000000000000000000e+00,7.444761550069339817e-02
7.977161407470703125e-01,1.274403184652328491e-01,6.144047249108552933e-03,7.618262171745300293e-01,-7.430209964513778687e-02,5.151112212522553080e-02,0.000000000000000000e+00,1.364129584417788366e-01
8.989341259002685547e-01,2.168784290552139282e-01,-1.694709295406937599e-03,1.057488441467285156e+00,-1.034436449408531189e-01,6.047677768144957972e-02,0.000000000000000000e+00,2.261122786267653062e-01
9.970350265502929688e-01,3.359487950801849365e-01,-1.200980320572853088e-02,1.365143537521362305e+00,-1.249196901917457581e-01,2.351211250008711229e-02,1.000000000000000000e+00,2.196820888194377652e-01
1.099507093429565430e+00,4.846011400222778320e-01,-2.387537807226181030e-02,1.668866991996765137e+00,-1.411230713129043579e-01,-9.628151937923212778e-04,1.000000000000000000e+00,7.582522097370590630e-02
1.198992013931274414e+00,6.624659895896911621e-01,-3.735487535595893860e-02,1.960990667343139648e+00,-1.580073386430740356e-01,-2.904517998486400021e-02,1.000000000000000000e+00,1.151973918182750412e-01
