t_s,x_east,y_north,v_east,v_north,a_cmd,path_idx,cte_m
2.493338584899902344e-01,8.185064070858061314e-04,4.945826367475092411e-04,2.664498984813690186e-03,-4.694811068475246429e-03,-3.332919812497637579e+00,0.000000000000000000e+00,7.782832367218749060e-04
4.993650913238525391e-01,1.295526861213147640e-03,1.605727156857028604e-04,2.974347956478595734e-02,-7.265182677656412125e-03,-3.332660027008647941e+00,0.000000000000000000e+00,8.704867013855523529e-04
7.516789436340332031e-01,3.168989717960357666e-02,-8.844007737934589386e-03,2.808040380477905273e-01,-9.366816282272338867e-02,-3.356948346863658283e+00,1.000000000000000000e+00,1.922465090402321330e-02
9.990718364715576172e-01,1.654918044805526733e-01,-5.445261299610137939e-02,8.689824342727661133e-01,-3.059138059616088867e-01,2.007372625586348325e-01,1.000000000000000000e+00,1.296211635775917359e-01
1.247583866119384766e+00,4.614415168762207031e-01,-1.551567018032073975e-01,1.591623663902282715e+00,-5.337986946105957031e-01,5.727938860459416137e-01,2.000000000000000000e+00,1.732963530391225526e-01
1.502892017364501953e+00,9.319971799850463867e-01,-2.914247810840606689e-01,2.293312072753906250e+00,-5.967534780502319336e-01,6.940277232999659818e-01,3.000000000000000000e+00,3.049784195150300747e-01
1.746224880218505859e+00,1.566364049911499023e+00,-4.259474575519561768e-01,2.941849470138549805e+00,-5.332710146903991699e-01,7.110902993951710993e-01,4.000000000000000000e+00,4.189426338979980180e-01
1.996133089065551758e+00,2.356741666793823242e+00,-5.448955893516540527e-01,3.556052684783935547e+00,-4.430827200412750244e-01,7.168957528757615716e-01,6.000000000000000000e+00,5.553276694780824307e-01
2.245342969894409180e+00,3.301848173141479492e+00,-6.430545449256896973e-01,4.142311096191406250e+00,-3.405112624168395996e-01,7.160045716270047045e-01,8.000000000000000000e+00,6.564439388782923324e-01
2.498101949691772461e+00,4.382279872894287109e+00,-7.159022092819213867e-01,4.560038089752197266e+00,-2.257749289274215698e-01,6.840644538945152009e-01,1.000000000000000000e+01,6.989591498915416201e-01
2.753000736236572266e+00,5.544401645660400391e+00,-7.586277127265930176e-01,4.731800079345703125e+00,-9.750553965568542480e-02,5.980811746382320715e-01,1.200000000000000000e+01,7.275687950599154519e-01
2.999942779541015625e+00,6.723151683807373047e+00,-7.669287323951721191e-01,4.782103061676025391e+00,4.029658809304237366e-02,4.661825552563123032e-01,1.500000000000000000e+01,8.533095305352583759e-02
3.250010728836059570e+00,7.911745071411132812e+00,-7.435641884803771973e-01,4.814621448516845703e+00,1.563055366277694702e-01,3.312226586874363332e-01,1.700000000000000000e+01,6.968309520283059166e-01
3.498731851577758789e+00,9.115152359008789062e+00,-6.966839432716369629e-01,4.851108074188232422e+00,2.328039407730102539e-01,2.182845616699950198e-01,1.900000000000000000e+01,6.623060913862514054e-01
3.748202800750732422e+00,1.033353614807128906e+01,-6.357078552246093750e-01,4.897065162658691406e+00,2.764763832092285156e-01,1.274556022886056128e-01,2.200000000000000000e+01,5.807513576635748853e-01
3.997620820999145508e+00,1.155187129974365234e+01,-5.668582916259765625e-01,4.947545051574707031e+00,2.978704571723937988e-01,5.199363459954037259e-02,2.400000000000000000e+01,5.124938424214972033e-01
4.249715805053710938e+00,1.278837203979492188e+01,-4.936713874340057373e-01,4.999105930328369141e+00,3.032450079917907715e-01,-1.224820326830112875e-02,2.700000000000000000e+01,4.314222065987534105e-01
4.495965719223022461e+00,1.404575824737548828e+01,-4.195679128170013428e-01,5.046555995941162109e+00,2.960827350616455078e-01,-6.643400756189352108e-02,2.900000000000000000e+01,3.648786385410855426e-01
4.749677896499633789e+00,1.531916809082031250e+01,-3.471765816211700439e-01,5.083653450012207031e+00,2.793768346309661865e-01,-1.114760244933992311e-01,3.200000000000000000e+01,2.600192165119201704e-01
